order_id,date,customer_id,product,quantity,unit_price,region,status,total_amount,name,customer_type,date_only
ORD000001,2024-07-17,CUST0035,Keyboard,7,175.43,West,Cancelled,1228.01,Customer 35,Basic,2024-07-17
ORD000002,2024-05-31,CUST0062,Charger,8,215.6,South,Completed,1724.8,Customer 62,Basic,2024-05-31
ORD000003,2024-03-16,CUST0093,Laptop,1,498.11,East,Completed,498.11,Customer 93,Standard,2024-03-16
ORD000004,2024-08-23,CUST0092,Mouse,1,42.27,North,Cancelled,42.27,Customer 92,Standard,2024-08-23
ORD000005,2024-05-05,CUST0077,Laptop,6,55.22,East,Cancelled,331.32,Customer 77,Basic,2024-05-05
ORD000006,2024-06-28,CUST0024,Keyboard,8,225.37,South,Completed,1802.96,Customer 24,Standard,2024-06-28
ORD000007,2024-10-18,CUST0061,Headphones,9,428.85,South,Cancelled,3859.65,Customer 61,Premium,2024-10-18
ORD000008,2024-05-10,CUST0083,Keyboard,8,375.37,West,Completed,3002.96,Customer 83,Premium,2024-05-10
ORD000009,2024-01-02,CUST0027,Monitor,7,192.23,South,Cancelled,1345.61,Customer 27,Premium,2024-01-02
ORD000010,2024-09-12,CUST0059,USB Cable,5,332.79,West,Completed,1663.95,Customer 59,Basic,2024-09-12
ORD000011,2024-03-08,CUST0005,Headphones,6,215.93,South,Completed,1295.58,Customer 5,Standard,2024-03-08
ORD000012,2024-09-05,CUST0072,Monitor,6,82.19,East,Completed,493.14,Customer 72,Standard,2024-09-05
ORD000013,2024-06-19,CUST0094,USB Cable,5,295.38,East,Completed,1476.9,Customer 94,Premium,2024-06-19
ORD000014,2024-10-19,CUST0050,Laptop,2,282.43,South,Completed,564.86,Customer 50,Standard,2024-10-19
ORD000015,2024-10-27,CUST0042,Monitor,9,367.19,North,Completed,3304.71,Customer 42,Standard,2024-10-27
ORD000016,2024-03-24,CUST0043,Headphones,8,420.54,West,Completed,3364.32,Customer 43,Standard,2024-03-24
ORD000017,2024-03-05,CUST0068,Keyboard,10,265.11,South,Cancelled,2651.1000000000004,Customer 68,Standard,2024-03-05
ORD000018,2024-05-12,CUST0024,Mouse,5,52.39,East,Cancelled,261.95,Customer 24,Standard,2024-05-12
ORD000019,2024-01-05,CUST0062,Monitor,2,195.64,South,Pending,391.28,Customer 62,Basic,2024-01-05
ORD000020,2024-02-03,CUST0038,Mouse,4,236.3,South,Pending,945.2,Customer 38,Basic,2024-02-03
ORD000021,2024-07-25,CUST0021,Mouse,9,123.97,North,Completed,1115.73,Customer 21,Standard,2024-07-25
ORD000022,2024-07-21,CUST0085,Monitor,3,479.2,North,Completed,1437.6,Customer 85,Premium,2024-07-21
ORD000023,2024-02-21,CUST0058,Laptop,8,28.23,South,Cancelled,225.84,Customer 58,Standard,2024-02-21
ORD000024,2024-04-22,CUST0023,Keyboard,2,244.4,North,Completed,488.8,Customer 23,Basic,2024-04-22
ORD000025,2024-10-03,CUST0077,Charger,2,452.9,North,Completed,905.8,Customer 77,Basic,2024-10-03
ORD000026,2024-09-30,CUST0048,Laptop,7,400.57,East,Cancelled,2803.99,Customer 48,Premium,2024-09-30
ORD000027,2024-01-23,CUST0020,Charger,6,249.41,West,Completed,1496.46,Customer 20,Standard,2024-01-23
ORD000028,2024-06-25,CUST0085,Webcam,6,410.92,North,Completed,2465.52,Customer 85,Premium,2024-06-25
ORD000029,2024-04-17,CUST0007,Keyboard,7,307.31,South,Completed,2151.17,Customer 7,Premium,2024-04-17
ORD000030,2024-08-31,CUST0009,Mouse,5,292.17,East,Completed,1460.8500000000001,Customer 9,Basic,2024-08-31
ORD000031,2024-08-02,CUST0002,Webcam,9,193.4,North,Completed,1740.6000000000001,Customer 2,Standard,2024-08-02
ORD000032,2024-04-06,CUST0066,Keyboard,7,455.97,North,Completed,3191.79,Customer 66,Premium,2024-04-06
ORD000033,2024-01-17,CUST0096,Monitor,7,256.25,South,Completed,1793.75,Customer 96,Premium,2024-01-17
ORD000034,2024-04-16,CUST0084,Monitor,7,461.18,North,Cancelled,3228.26,Customer 84,Basic,2024-04-16
ORD000035,2024-09-09,CUST0009,Webcam,1,421.87,South,Pending,421.87,Customer 9,Basic,2024-09-09
ORD000036,2024-04-15,CUST0074,Monitor,10,140.64,East,Completed,1406.3999999999999,Customer 74,Premium,2024-04-15
ORD000037,2024-09-25,CUST0084,USB Cable,7,315.38,West,Pending,2207.66,Customer 84,Basic,2024-09-25
ORD000038,2024-01-14,CUST0002,Headphones,9,391.9,South,Completed,3527.1,Customer 2,Standard,2024-01-14
ORD000039,2024-06-24,CUST0017,Webcam,9,420.0,West,Completed,3780.0,Customer 17,Standard,2024-06-24
ORD000040,2024-02-16,CUST0094,Webcam,7,193.78,North,Completed,1356.46,Customer 94,Premium,2024-02-16
ORD000041,2024-09-13,CUST0052,Webcam,2,279.33,West,Completed,558.66,Customer 52,Standard,2024-09-13
ORD000042,2024-01-14,CUST0022,USB Cable,5,461.56,North,Pending,2307.8,Customer 22,Premium,2024-01-14
ORD000043,2024-07-22,CUST0093,USB Cable,5,408.36,East,Pending,2041.8000000000002,Customer 93,Standard,2024-07-22
ORD000044,2024-04-29,CUST0035,Mouse,6,83.76,South,Cancelled,502.56000000000006,Customer 35,Basic,2024-04-29
ORD000045,2024-08-04,CUST0030,Webcam,1,495.32,North,Cancelled,495.32,Customer 30,Premium,2024-08-04
ORD000046,2024-05-19,CUST0035,Laptop,2,262.68,North,Completed,525.36,Customer 35,Basic,2024-05-19
ORD000047,2024-04-29,CUST0092,Laptop,3,424.92,East,Cancelled,1274.76,Customer 92,Standard,2024-04-29
ORD000048,2024-01-19,CUST0049,Mouse,6,477.57,East,Cancelled,2865.42,Customer 49,Basic,2024-01-19
